dataset,regime,metric,mean,sd,n,seeds,contrast
mnist,alpha0p1,delta_target_entropy,-0.413865927445306,0.11455791261167028,3,"42,43,44",expertise
mnist,alpha0p1,delta_fallback_count,0.0,0.0,3,"42,43,44",expertise
mnist,alpha0p1,delta_fallback_rate,0.0,0.0,3,"42,43,44",expertise
mnist,alpha0p1,delta_mean_selected_teachers,-5.933333333333334,0.7505553499465135,3,"42,43,44",expertise
mnist,alpha0p1,delta_effective_teachers,-5.933333333333333,0.7505553499465134,3,"42,43,44",expertise
mnist,alpha0p5,delta_student_test_accuracy,0.8833333333333323,0.7503554713156612,3,"42,43,44",expertise
mnist,alpha0p5,delta_student_test_nll,-0.024397515909882136,0.015123557205167771,3,"42,43,44",expertise
mnist,alpha0p5,delta_target_accuracy,1.4066666666666707,0.7536798613027517,3,"42,43,44",expertise
mnist,alpha0p5,delta_target_nll,-0.14799719279820223,0.011814898530017626,3,"42,43,44",expertise
mnist,alpha0p5,delta_target_entropy,-0.0952331681428648,0.010657546860069585,3,"42,43,44",expertise
mnist,alpha0p5,delta_fallback_count,0.0,0.0,3,"42,43,44",expertise
mnist,alpha0p5,delta_fallback_rate,0.0,0.0,3,"42,43,44",expertise
