dataset,regime,method,metric,mean,sd,n,seeds
cifar,alpha0p1,expert_prob_sr,student_test_nll,3.6734299149831138,0.45903410254946403,3,"42,43,44"
cifar,alpha0p1,oracle_prob,student_test_accuracy,72.31333333333333,2.582137357565113,3,"42,43,44"
cifar,alpha0p1,oracle_prob,student_test_nll,1.2107145736694334,0.1947526908843868,3,"42,43,44"
cifar,alpha0p1,feddf_logit,student_test_accuracy,35.27,10.848119652732452,3,"42,43,44"
cifar,alpha0p1,feddf_logit,student_test_nll,2.0619527886708577,0.4396310063750357,3,"42,43,44"
cifar,alpha0p1,oracle_logit,student_test_accuracy,74.20333333333332,0.310859024854246,3,"42,43,44"
cifar,alpha0p1,oracle_logit,student_test_nll,1.1708802766799928,0.0652736411499348,3,"42,43,44"
cifar,multi,feddf_prob,student_test_accuracy,48.230000000000004,5.140457178111692,3,"42,43,44"
cifar,multi,feddf_prob,student_test_nll,1.5014989054361978,0.1394495559200645,3,"42,43,44"
cifar,multi,expert_prob,student_test_accuracy,75.09666666666668,1.46565116359021,3,"42,43,44"
cifar,multi,expert_prob,student_test_nll,1.5757289653778077,0.011195816525286239,3,"42,43,44"
cifar,multi,expert_prob_sr,student_test_accuracy,73.78333333333332,1.30439002347202,3,"42,43,44"
cifar,multi,expert_prob_sr,student_test_nll,5.723361262003581,0.29844514746405715,3,"42,43,44"
cifar,multi,oracle_prob,student_test_accuracy,75.11666666666666,1.3134813791346032,3,"42,43,44"
cifar,multi,oracle_prob,student_test_nll,1.5118693726857504,0.04229343963623066,3,"42,43,44"
cifar,multi,feddf_logit,student_test_accuracy,36.83666666666667,7.6804448655877575,3,"42,43,44"
cifar,multi,feddf_logit,student_test_nll,1.8996747895558677,0.14081188032270994,3,"42,43,44"
cifar,multi,oracle_logit,student_test_accuracy,75.16666666666666,1.3996189957746803,3,"42,43,44"
cifar,multi,oracle_logit,student_test_nll,1.5216600765228272,0.049514636991388,3,"42,43,44"
cifar,single,feddf_prob,student_test_accuracy,9.473333333333333,1.1060440015358033,3,"42,43,44"
cifar,single,feddf_prob,student_test_nll,2.6126453875223796,0.15343675210920002,3,"42,43,44"
cifar,single,expert_prob,student_test_accuracy,78.75999999999999,1.2492797925204735,3,"42,43,44"
cifar,single,expert_prob,student_test_nll,1.7122937920888266,0.14269342428258958,3,"42,43,44"
