dataset,regime,mean,sd,n,seeds,contrast,metric
fmnist,iid,0.0169082209536849,0.0019978710409093046,3,"42,43,44",feddf_pooling,target_nll
fmnist,multi,-0.4355145440818087,0.06619518517845642,3,"42,43,44",feddf_pooling,target_nll
fmnist,single,-0.21750354312820974,0.013860353453965373,3,"42,43,44",feddf_pooling,target_nll
mnist,alpha0p1,-0.22564603212629897,0.046725560732138446,3,"42,43,44",feddf_pooling,target_nll
mnist,alpha0p5,-0.02980390233756876,0.005563163207725307,3,"42,43,44",feddf_pooling,target_nll
mnist,alpha1p0,0.006989215493258112,0.01134709509814143,3,"42,43,44",feddf_pooling,target_nll
mnist,iid,0.01407119400801038,0.003826946235633065,3,"42,43,44",feddf_pooling,target_nll
mnist,multi,-0.31013829581901886,0.007206901001340548,3,"42,43,44",feddf_pooling,target_nll
mnist,single,-0.08442687748313264,0.06824806173587099,3,"42,43,44",feddf_pooling,target_nll
cifar,alpha0p1,-0.01332040921796255,0.005927690177138668,3,"42,43,44",feddf_pooling,target_entropy
cifar,alpha0p5,-0.0038098304419924567,0.0006463487368508176,3,"42,43,44",feddf_pooling,target_entropy
cifar,alpha1p0,-0.0017301301931921624,0.001740444594403514,3,"42,43,44",feddf_pooling,target_entropy
cifar,iid,0.0020744669518569423,0.0005251903497166775,3,"42,43,44",feddf_pooling,target_entropy
cifar,multi,-0.015403802605764128,0.0023212846052768216,3,"42,43,44",feddf_pooling,target_entropy
cifar,single,-0.0005078788042423751,0.0018835637598733838,3,"42,43,44",feddf_pooling,target_entropy
fmnist,alpha0p1,-0.04737019324347669,0.006351418819981567,3,"42,43,44",feddf_pooling,target_entropy
fmnist,alpha0p5,0.012187538208587275,0.004479939574116039,3,"42,43,44",feddf_pooling,target_entropy
fmnist,alpha1p0,0.020156242733677665,0.006491622181523982,3,"42,43,44",feddf_pooling,target_entropy
fmnist,iid,0.02910609247172539,0.006646477536837544,3,"42,43,44",feddf_pooling,target_entropy
fmnist,multi,-0.0531427605442177,0.06800143920983376,3,"42,43,44",feddf_pooling,target_entropy
fmnist,single,0.14766623987435276,0.030183384227621568,3,"42,43,44",feddf_pooling,target_entropy
mnist,alpha0p1,-0.05769945202605312,0.005456259016309191,3,"42,43,44",feddf_pooling,target_entropy
mnist,alpha0p5,-0.00276512404283887,0.006168550564093898,3,"42,43,44",feddf_pooling,target_entropy
mnist,alpha1p0,0.014012578688978131,0.012089621396095696,3,"42,43,44",feddf_pooling,target_entropy
mnist,iid,0.019709133700693233,0.0054762867866300115,3,"42,43,44",feddf_pooling,target_entropy
mnist,multi,-0.09830582711671558,0.016028469103775065,3,"42,43,44",feddf_pooling,target_entropy
mnist,single,0.08751141788539989,0.07145106398461687,3,"42,43,44",feddf_pooling,target_entropy
cifar,alpha0p1,-0.01889999999999999,0.02289082785746293,3,"42,43,44",oracle_pooling,student_test_accuracy
cifar,alpha0p5,0.00736666666666667,0.004742713709822013,3,"42,43,44",oracle_pooling,student_test_accuracy
cifar,alpha1p0,0.0014333333333333604,0.0015567059238447464,3,"42,43,44",oracle_pooling,student_test_accuracy
cifar,iid,-0.0018666666666666092,0.008013322240702258,3,"42,43,44",oracle_pooling,student_test_accuracy
cifar,multi,-0.000500000000000019,0.008281907992727298,3,"42,43,44",oracle_pooling,student_test_accuracy
cifar,single,0.0,0.0,3,"42,43,44",oracle_pooling,student_test_accuracy
fmnist,alpha0p1,0.0015333333333333126,0.004891148467725455,3,"42,43,44",oracle_pooling,student_test_accuracy
fmnist,alpha0p5,0.002866666666666647,0.0024419937209856106,3,"42,43,44",oracle_pooling,student_test_accuracy
fmnist,alpha1p0,0.0007333333333333266,0.0014571661996263014,3,"42,43,44",oracle_pooling,student_test_accuracy
fmnist,iid,0.0006666666666667043,0.0018009256878987034,3,"42,43,44",oracle_pooling,student_test_accuracy
fmnist,multi,0.0023999999999999946,0.004794788837894761,3,"42,43,44",oracle_pooling,student_test_accuracy
fmnist,single,0.0,0.0,3,"42,43,44",oracle_pooling,student_test_accuracy
mnist,alpha0p1,9.999999999998899e-05,0.0009000000000000119,3,"42,43,44",oracle_pooling,student_test_accuracy
mnist,alpha0p5,6.666666666669634e-05,0.00050332229568472,3,"42,43,44",oracle_pooling,student_test_accuracy
mnist,alpha1p0,-6.666666666665932e-05,0.00040414518843269356,3,"42,43,44",oracle_pooling,student_test_accuracy
mnist,iid,0.00046666666666668927,0.00032145502536645975,3,"42,43,44",oracle_pooling,student_test_accuracy
mnist,multi,0.00013333333333328165,0.0007371114795831809,3,"42,43,44",oracle_pooling,student_test_accuracy
mnist,single,0.0,0.0,3,"42,43,44",oracle_pooling,student_test_accuracy
cifar,alpha0p1,0.03983429698944071,0.15458728938638458,3,"42,43,44",oracle_pooling,student_test_nll
cifar,alpha0p5,-0.04724930235544841,0.03610661050072411,3,"42,43,44",oracle_pooling,student_test_nll
