run_id,dataset,regime,seed,method,valid,reason
97a3221726ba6a99,cifar,alpha0p5,43,feddf_prob,True,
fcb2d6b803bea567,cifar,alpha0p5,43,expert_prob,True,
649b5421aad84b2e,cifar,alpha0p5,43,expert_prob_sr,True,
1433645606357b07,cifar,alpha0p5,43,oracle_prob,True,
8ba70c907e4eeffa,cifar,alpha0p5,43,feddf_logit,True,
d056c98fd184e3c4,cifar,alpha0p5,43,oracle_logit,True,
b7f165e8e2e18b64,cifar,alpha0p5,44,feddf_prob,True,
43e1e8dbb73f2bc9,cifar,alpha0p5,44,expert_prob,True,
9e2d1b32bfb5f99b,cifar,alpha0p5,44,expert_prob_sr,True,
bc97d7978a92757f,cifar,alpha0p5,44,oracle_prob,True,
1e9c8ccd1e771ac7,cifar,alpha0p5,44,feddf_logit,True,
12aa7bc5bfd8ca62,cifar,alpha0p5,44,oracle_logit,True,
2857c6e300930494,cifar,alpha1p0,42,feddf_prob,True,
647850f543c3374a,cifar,alpha1p0,42,expert_prob,True,
901f3616ed554925,cifar,alpha1p0,42,expert_prob_sr,True,
bd0b8b1cafbe0b59,cifar,alpha1p0,42,oracle_prob,True,
6630d293af8401fd,cifar,alpha1p0,42,feddf_logit,True,
74970e4ab28b3d1a,cifar,alpha1p0,42,oracle_logit,True,
57f49129c270c132,cifar,alpha1p0,42,confidence_logit,True,
a20013e877156625,cifar,alpha1p0,42,consensus_logit,True,
6f9f51738222250d,cifar,alpha1p0,42,energy_logit,True,
78f7162f96a08885,cifar,alpha1p0,42,expert_logit,True,
91ad428d435968d6,cifar,alpha1p0,43,feddf_prob,True,
342176127b0855ce,cifar,alpha1p0,43,expert_prob,True,
7b7ee002fd688e63,cifar,alpha1p0,43,expert_prob_sr,True,
188b73fd6991bb7b,cifar,alpha1p0,43,oracle_prob,True,
f1e88c621a2262bb,cifar,alpha1p0,43,feddf_logit,True,
009ad8beb224298c,cifar,alpha1p0,43,oracle_logit,True,
029ecf7489812429,cifar,alpha1p0,44,feddf_prob,True,
3f9ec0095a44e2b6,cifar,alpha1p0,44,expert_prob,True,
cf3b68f26236ee46,cifar,alpha1p0,44,expert_prob_sr,True,
976891d6ce61e4cc,cifar,alpha1p0,44,oracle_prob,True,
de546cca3eaa3408,cifar,alpha1p0,44,feddf_logit,True,
44d02313966295d1,cifar,alpha1p0,44,oracle_logit,True,
a00f0c26cb8bbcde,cifar,iid,42,feddf_prob,True,
b25818fe5626557a,cifar,iid,42,expert_prob,True,
aadc4f910a8966d5,cifar,iid,42,expert_prob_sr,True,
c5960233e7e78787,cifar,iid,42,oracle_prob,True,
b0a9335fd8631103,cifar,iid,42,feddf_logit,True,
fda178d0340937a9,cifar,iid,42,oracle_logit,True,
4e5b4a12f4ba5ae2,cifar,iid,42,confidence_logit,True,
7dbe0444b9602f86,cifar,iid,42,consensus_logit,True,
ee203208439b0a48,cifar,iid,42,energy_logit,True,
9a081680d68fa9ae,cifar,iid,42,expert_logit,True,
e87c11f117ac21ff,cifar,iid,43,feddf_prob,True,
732fa36ec846a6f7,cifar,iid,43,expert_prob,True,
b91bf6f15b0520dd,cifar,iid,43,expert_prob_sr,True,
ebd4fe9dbb3a6e0a,cifar,iid,43,oracle_prob,True,
66b66282ed861eb0,cifar,iid,43,feddf_logit,True,
d7e3b9469fcd56bf,cifar,iid,43,oracle_logit,True,
fa2bcb5db7319c76,cifar,iid,44,feddf_prob,True,
f048d10da4d4f8c5,cifar,iid,44,expert_prob,True,
6b6e54aac0100371,cifar,iid,44,expert_prob_sr,True,
98037d56541a91a1,cifar,iid,44,oracle_prob,True,
04de2951944865c5,cifar,iid,44,feddf_logit,True,
70c8cf0445c1420f,cifar,iid,44,oracle_logit,True,
faf19ceb1b28e46e,cifar,multi,42,feddf_prob,True,
e45d743ef17dcac0,cifar,multi,42,expert_prob,True,
63cb0042b37a39fd,cifar,multi,42,expert_prob_sr,True,
